Mastung,Mastung,"RHC, Kanak",main city road,03355204382,Both
Mastung,Dasht,"BHU, Spezant",main city road,03327871938,Both
Mastung,Mastung,Ghous Bakhsh Rehsani Hospital,"main RCD highway road, Mastung",03365670775,Both
Mastung,Mastung,District Coldroom,main city road,03342348793,Both
Awaran,Jhal Jhao,RHC Camp Jhall Jhao,main city road,03332901152,Both
Awaran,Mashkai,RHC Mashkey,main city road,03129936933,Both
Awaran,Jhal Jhao,BHU Bagari Zeelaghe,main city road,03325073925,Both
Washuk,Washuk,BHU Washuk,main city road,"033682814950847310101",Both
Washuk,Mashkail,BHU Kalag Mashkail,main city road,"033682814950847310101",Both
Gwadar,Jiwani,RHC Jiwani,main city road,"0322810122103332001278",Both
Gwadar,Pasni,RHC Pasni,main city road,03218981926,Both
Gwadar,Ormara,RHC ORMARA,main city road,03448165934,Both
Gwadar,Gawadar,GDA Hospital,main city road,03098006001,Both
Panjgur,Panjgur,BHU Sordo,main city road,03324271657,Both
Panjgur,Panjgur,BHU Essahi,main city road,03177008857,Both
Panjgur,Panjgur,RHC Tasp,main city road,03313973907,Both
Panjgur,Panjgur,RHC Washbood,main city road,03232056620,Both
Panjgur,Gwargo,RHC Paroom,main city road,0855403356,Both
Kech/Turbat,Buleda,RHC Buleda,main city road,03132756104,Both
Kech/Turbat,Dasht,RHC Kuddan,main city road,03213953977,Both
Kech/Turbat,Tump,RHC Soro,main city road,03213953977,Both
Kech/Turbat,Tump,RHC Tump,tump,03213953977,Both
Sohbatpur,Fareedabad,BHU NOOR PUR,main city road,03443153068,Both
Sohbatpur,Sohbat Pur,BHU JHANDA TALAB,main city road,03443153068,Both
Sohbatpur,Manjhi pur,BHU PANHWAR,main city road,03443153068,Both
Sohbatpur,Manjhi pur,BHU MANJHI PUR,main city road,03443153068,Both
Jaffarabad,Usta Muhammad,CIVIL HOSPITAL USTA MUHAMMAD,main city road,03337333008,Both
Jaffarabad,Usta Muhammad,50 BEDDED LABOUR HOSPITAL USTA MUHAMMAD,main city road,03337333008,Both
Jaffarabad,Jhat Pat,RHC ROJHAN JAMALI,rojhan jamali road,03337333008,Both
Jaffarabad,Jhat Pat,BHU CATTLE FARM,main city road,03337333008,Both
Jaffarabad,Gandakha,BHU BAGH HEAD,main city road,03337333008,Both
Jaffarabad,Gandakha,BHU GANDAKHA,main city road,03337333008,Both
Bolan/Kachhi,Mach,Civil Hospital Mach,main city road,03367800790,Both
Bolan/Kachhi,Dhadar,RHC Haji Shaher,main city road,03013103784,Both
Bolan/Kachhi,Bhag,Civil Hospital Bhag,main city road,03013103784,Both
Naseerabad,Chatter,BHU Mir Hassan,main city road,03453964034,Both
Naseerabad,Dera Murad Jamali,BHU Ahmad Shaheed,main city road,03003170244,Both
